Order ID,Customer_ID,  Order Date,Category,Product Name,Qty,Unit Price,Country ,PaymentMethod,customer_email,Rating,Discount,Returned?
ORD1649,CUST140,10/10/2024,Books,  Gel Pen  ,3,75.84,India,UPI,customer160@mail.com,2,9%,Yes
ORD1365,CUST150,04-23-2023,Sports,Yoga Mat,6,95.44,Australia,PayPal,customer4@mail.com,,,No
ORD1321,CUST92,29/04/2023,Home and Kitchen,Notebook,5,-159.66,  USA  ,  upi  ,customer245@mail.com,2,0.06,Yes
ORD1629,CUST65,08-21-2023,Books ,,2,111.59,,UPI,customer22@mail.com,2,0.06,Yes
ORD1847,CUST22,09-Nov-2023,Books ,Smart Watch ,9,Rs.167.93,USA,UPI,customer200@mail.com,4,0.1,no
ORD1468,CUST108,invalid_date,Clothing,USB-C Cable,2,93.78, France,PayPal,customer29@mail.com,4,,No
ORD1598,CUST156,2024/03/29,Clothing,Smart Watch ,3,87.16,United Kingdom,  PayPal  ,customer50@mail.com,2,0.12,Yes
ORD1394,CUST22,30.07.2024,Books,Power Bank,8,119.19,USA,UPI,CUSTOMER39@MAIL.COM,4,0.2,Yes
ORD1536,CUST237,13-Aug-2024,  Home & Kitchen  ,T-Shirt,7,197.68,USA,Cash on Delivery,customer159@mail.com,1,0.22,No
ORD1721,CUST239,22.01.2023,Beauty,Yoga Mat,0,$61.21,UK,Cash on Delivery,customer40@mail.com,5,,No
ORD1333,CUST142,06/07/2024,Home & Kitchen, Running Shoes,five,57.94,Germany,NA,customer77@mail.com,3,45%,No
ORD1409,CUST210,20.06.2023,Beauty,Gel Pen,,146.7,USA,CREDIT CARD,customer266@mail.com,5,0.31,Yes
ORD1059,CUST11,22.11.2024,  Books  ,T-Shirt,7,167.21,USA,Credit Card,customer103@mail.com,1,0.23,0
ORD1256,CUST11,2024/05/11,beauty ,Face Cream,7,free,France,paypal,customer167@mail.com,10,,N
ORD1971,CUST265,02.01.2024,Books,Laptop Stand,6,73.62,USA,Cash on Delivery,customer37@mail.com,3,0.02,No
ORD1994,CUST241,2023/08/01,  Books   ,T-Shirt,1,Rs.106.07,Australia,,customer137@@mail.com,2,0.37,No
ORD1342,CUST38,14.09.2024,  Home & Kitchen  ,Shampoo,6,Rs.27.81,Australia,NA,,3,,No
ORD1635,CUST96,06-14-2023,Books,,1,77.41,unknown,Debit Card,customer189@mail.com,2,0.22,N
ORD1765,CUST210,18/05/2023,ELECTRONICS,Laptop Stand,10,34.24,United Kingdom,    ,CUSTOMER10@MAIL.COM,2,0.36,Yes
ORD1010,CUST53,20/03/2024,clothing,  Power Bank  ,4,153.92,N/A,CREDIT CARD,,4,0.41,Yes
ORD1485,CUST54,27/06/2023,Sports,Bluetooth Speaker,8,149.93,Germany,    ,customer3@mail.com,5,0.02,
ORD1209,CUST83,02.01.2024,electronics,Yoga Mat,7,54.4,India,,customer78@mail.com,1,0.31,No
ORD1139,CUST225,2024/08/29,Beauty,Power Bank,1,40.13,USA,Credit Card,customer255@mail.com,5,0.08,
ORD1388,CUST151,26/08/2024,Clothing, Running Shoes,8,168.8,INDIA,,,good,,1
ORD1622,CUST190,2024/10/06,Books,Face Cream,6,-93.88,India,  credit card  ,customer131@mail.com,2,0.01,No
ORD1799,CUST146,30-Apr-2024,ELECTRONICS,USB-C Cable,8,188.54,India,NA,CUSTOMER143@MAIL.COM,1,10%,Yes
ORD1718,CUST198,14/07/2023,Beauty,USB-C Cable,7,183.58,United States,PayPal,customer89@mail.com,3,0.26,Yes
ORD1847,,2023/11/02,Home & Kitchen,,7,80.51,U.S.A,Credit Card,customer131@mail.com,2,26%,No
ORD1835,CUST79,18-Jul-2023,electronics,USB-C Cable,3,126.17,  United States  ,Debit Card,customer300@mail.com,2,25%,No
ORD1937,CUST143,27/09/2024,Books ,Webcam HD,1,149.2,United Kingdom,UPI,customer247@mail.com,5,28%,No
ORD1581,cust187,24.10.2024,Sports,Smart Watch ,4,47.46,Australia,  Cash on Delivery  ,customer45@mail.com,3,0.17,No
ORD1382,CUST5,09-26-2023,Books ,Gel Pen,8,143.55,France,NA,,2,11%,Yes
ORD1070,CUST10,06.04.2024,Home & Kitchen,Laptop Stand,2,62.16,,COD,customer27@mail.com,1,41%,Yes
ORD1260,CUST13,2023-11-08,Sports,Smart Watch ,1,166.09,United Kingdom,upi,customer27@mail.com,5,36%,Yes
ORD1802,CUST215,2023/08/16,ELECTRONICS,Shampoo,1,$106.74,germany,,customer249@mail.com,1,2%,Yes
ORD1453,CUST270,02-07-2024,Books ,Yoga Mat,7,51.68,United States,Credit Card,,5,0.04,1
ORD1591,CUST110,21-Oct-2023,Home and Kitchen,,5,176060.0,india,paypal,customer211@mail.com,2,0.22,No
ORD1908,CUST40,21.04.2023,Beauty,Bluetooth Speaker,3,31.59,Australia,    ,,2,0.39,Yes
ORD1786,CUST65,invalid_date,ELECTRONICS,,,146.34,France,PayPal,customer95@mail.com,2,47%,True
ORD1213,CUST133,2024/06/04,  Sports  ,Smart Watch ,6,83.24,,credit card,,3,34%,Yes
ORD1096,CUST203,2024-03-26,Electronics,Webcam HD,3,66.38,unknown,UPI,customer35@mail.com,4,0.29,No
ORD1688,CUST175,2024/07/02,Clothing,Yoga Mat,8,6.89,USA,PayPal,customer218@mail.com,2,0.42,Yes
ORD1851,CUST160,26-Mar-2023,beauty ,Bluetooth Speaker,10,12.14,United Kingdom,credit card,customer267@mail.com,1,17%,Yes
ORD1848,CUST130,13.12.2023,Books ,Webcam HD,2,39.12,germany,COD,customer11@mail.com,5,0.22,Yes
ORD1728,CUST104,06/03/2023,ELECTRONICS,Yoga Mat,5,60.68,France,Cash on Delivery,customer194@mail.com,4,30%,No
ORD1192,CUST130,04-05-2024,  Home and Kitchen  ,Denim Jacket,6,-125.66,unknown,  credit card  ,CUSTOMER286@MAIL.COM,4,0.02,No
ORD1280,CUST33,2023/02/14,Beauty,  Face Cream  ,5,$58.67,Germany,PayPal,,2,0.1,
ORD1533,CUST167,18.06.2023,clothing,Laptop Stand,6,104.78,France,PayPal,customer228@mail.com,3,0.18,Yes
ORD1926,CUST118,05-31-2024,Home and Kitchen,,6,184.28,,upi,,1,0.04,Yes
ORD1617,CUST223,2023-01-17,Sports, Running Shoes,2,16.77,India,Cash on Delivery,customer277@mail.com,3,49%,No
ORD1820,CUST165,2023/08/23,electronics,   Running Shoes  ,1,129.31,,Credit Card,customer92@mail.com,2,27%,No
ORD1865,CUST239,05-14-2023,Home and Kitchen,Notebook,,8.37,Australia,credit card,customer271@mail.com,1,26%,No
ORD1184,CUST93,20/10/2024,clothing,Bluetooth Speaker,1,126.73,France,NA,customer93@mail.com,3,0.12,Yes
ORD1030,CUST158,21.11.2024,Books,Yoga Mat,4,101.12,N/A,upi,customer259@mail.com,,0.1,Yes
ORD1328,CUST274,23.04.2024,ELECTRONICS,Notebook,-2,80.09,United Kingdom,upi,customer191@mail.com,1,0.31,
ORD1506,CUST91,28/12/2023,Electronics,Phone Case,five,70.28,unknown,paypal,customer25@mail.com,,38%,Yes
ORD1054,CUST1,2023-02-25,Books ,Webcam HD,10,72.7,Germany,paypal,customer119@mail.com,1,0.38,Yes
ORD1023,CUST185,06-04-2024,Clothing,Shampoo,8,,,,customer177@mail.com,1,0.0,No
ORD1090,CUST237,27.12.2023,  clothing  ,,1,83.91,N/A,Debit Card,customer283@mail.com,2,0.11,No
ORD1549,CUST137,2024-08-20,Home and Kitchen,,9,187.68,India,paypal,customer259@mail.com,1,3%,0
ORD1247,cust147,12.07.2024,Books ,Bluetooth Speaker,5,9.91, France,,customer213@mail.com,1,0.15,No
ORD1003,CUST297,04-06-2023,Electronics,Phone Case,8,60.5, France,Credit Card,customer253@mail.com,,0.06,1
ORD1086,CUST222,19/08/2023,Beauty,wireless mouse,1,11.7,  Germany  ,,customer19@mail.com,3,0%,Yes
ORD1845,CUST103,2023/08/24,electronics,Phone Case,7,28.4, France,Debit Card,,5,0.22,yes
ORD1954,CUST69,2024/02/19,electronics,Headphones,3,51.5,N/A,upi,customer211@mail.com,4,0.41,Yes
ORD1290,CUST128,21.12.2023,Books ,,2,$116.67,Germany,PayPal,,4,31%,No
ORD1210,cust295,2023/01/24,beauty ,Laptop Stand,9,105.73,Australia,CREDIT CARD,customer264@@mail.com,3,0.33,No
ORD1677,CUST78,15.04.2024,  beauty   ,  Face Cream  ,9999,51.62,germany,  PayPal  ,customer243@mail.com,3,22%,0
ORD1174,CUST38,26.04.2023,Books ,Smart Watch ,8,-39.69,germany,Cash on Delivery,customer49@mail.com,4,,Yes
ORD1199,CUST186,05.11.2024,Sports,wireless mouse,10,89.31,N/A,credit card,customer183@mail.com,good,0.3,N
ORD1904,CUST83,07-Nov-2023,clothing,Smart Watch ,10,67.99,Australia,CREDIT CARD,customer147@mail.com,5,4%,No
ORD1368,CUST102,28/04/2023,  Sports  ,Face Cream,3,154.1,India,Debit Card,customer232@mail.com,10,,No
ORD1063,,12/01/2023,clothing,,,32.83,unknown,  upi  ,customer274@mail.com,5,0.05,No
ORD1265,CUST145,07/07/2024,Home and Kitchen,  Webcam HD  ,2,$186.88,Australia,credit card,customer210@mail.com,1,21%,False
ORD1231,CUST59,2024-11-26,Electronics,,10,free,United Kingdom,Debit Card,customer63@mail.com,8,0.43,0
ORD1006,CUST275,2023-01-27,ELECTRONICS,Smart Watch ,10,76010.0,,COD,customer176@mail.com,4,0.08,True
ORD1625,CUST93,10.11.2023,clothing,Bluetooth Speaker,3,$35.18, France,,customer13@mail.com,1,0.34,Yes
ORD1568,CUST251,2023/05/23,ELECTRONICS,Headphones,3,$120.15,United States,credit card,customer215@mail.com,,0.49,No
ORD1660,CUST251,2023/09/28,Electronics,Shampoo,4,179.47,United Kingdom,UPI,customer274@mail.com,5,0.11,No
ORD1039,CUST203,2024-06-30,  clothing  ,Yoga Mat,5,Rs.86.48, France,Cash on Delivery,customer187@mail.com,4,0.1,yes
ORD1808,CUST140,2023-12-26,beauty ,,8,55.57,Australia,NA,customer163@mail.com,good,0.47,No
ORD1168,CUST16,2024/05/29,  beauty   ,Bluetooth Speaker,9,124.94,India,PayPal,customer260@@mail.com,4,45%,Yes
ORD1590,CUST75,2024/07/11,  Clothing  , Running Shoes,4,$92.12,  Australia  ,UPI,customer61@mail.com,2,0.04,1
ORD1464,CUST167,20/07/2024,beauty ,Bluetooth Speaker,,64.17,United Kingdom,CREDIT CARD,customer161@mail.com,3,,no
ORD1507,CUST100,08/03/2023,  Clothing  ,Gel Pen,1,63.72,UK,CREDIT CARD,customer245@mail.com,,42%,No
ORD1442,CUST177,2024/02/10,clothing,,10,75.1,,UPI,customer227@@mail.com,1,,False
ORD1910,CUST78,2024-07-02,Home and Kitchen,Wireless Mouse,4,free,  India  ,upi,customer78@mail.com,4,0.29,1
ORD1066,CUST270,18-Oct-2023,  Electronics  ,Phone Case,8,83.73,Germany,PayPal,customer61@mail.com,3,0.06,Yes
ORD1307,CUST177,03-14-2023,Beauty,Face Cream,-1,118.03,UK,Credit Card,customer177@mail.com,2,,No
ORD1067,CUST21,2024/02/20,electronics,Wireless Mouse,0,165.28,india,NA,customer76@mail.com,5,0.04,
ORD1198,CUST102,15-Nov-2023,Books,,6,148.08, France,paypal,customer266@mail.com,,0.01,Yes
ORD1528,CUST187,24.07.2023,Electronics,Notebook,5,100.47,Germany,PayPal,customer212@mail.com,2,31%,No
ORD1481,CUST22,06-Jul-2023,Home & Kitchen,T-Shirt,10,177.77,N/A,credit card,customer169@mail.com,1,36%,Yes
ORD1759,CUST133,19-Jun-2023,Sports,Shampoo,1,64.49,unknown,,customer15@mail.com,2,13%,Yes
ORD1989,CUST214,27/09/2024,Books ,Webcam HD,7,152.02,U.S.A,Debit Card,customer98@mail.com,4,0.26,Yes
ORD1362,CUST261,06.05.2023,Sports,  wireless mouse  ,8,169.49,germany,credit card,CUSTOMER187@MAIL.COM,1,0.21,No
ORD1846,CUST197,12-Jan-2024,Books ,Face Cream,1,25.98,INDIA,Credit Card,customer213@mail.com,,0.33,No
ORD1558,CUST192,22-Jun-2023,electronics,Power Bank,1,91.22,United States,UPI,,3,,No
ORD1618,CUST158,09/09/2023,clothing,  T-Shirt  ,5,21.84,unknown,credit card,,4,0.06,Yes
ORD1352,CUST143,28-Sep-2023,ELECTRONICS,Webcam HD,3,7.19, France,PayPal,,2,44%,Yes
ORD1762,CUST253,05.05.2024,Beauty,,1,171.09,USA,credit card,customer122@mail.com,,0.24,No
ORD1993,CUST33,2024-03-25,Clothing,T-Shirt,8,150.29, France,paypal,customer34@mail.com,2,0.36,No
ORD1292,CUST138,06.10.2024,Sports,USB-C Cable,1,52.14,,CREDIT CARD,customer240@mail.com,3,0.01,Yes
ORD1754,CUST181,19.12.2023,Sports,  Wireless Mouse  ,4,37.6,Germany,UPI,customer273@mail.com,5,0.27,Yes
ORD1100,CUST186,2023-07-17,clothing,Laptop Stand,7,60.06,unknown,NA,customer142@mail.com,3,0.33,No
ORD1598,CUST156,2024/03/29,Clothing,Smart Watch ,3,87.16,United Kingdom,PayPal,customer50@mail.com,2,0.12,Yes
ORD1939,CUST238,invalid_date,Books,Smart Watch ,8,131.86,  France  ,NA,customer82@mail.com,,,1
ORD1810,CUST91,2024-01-17,Beauty,Notebook,-3,111.28,Germany,,customer148@mail.com,3,48%,Yes
ORD1305,CUST118,2024/03/25,  Home & Kitchen  ,Shampoo,7,,Australia,NA,customer50@mail.com,4,47%,N
ORD1628,CUST25,2024-10-26,Sports,Headphones,1,73.91,USA,Cash on Delivery,customer134@mail.com,5,0.36,No
ORD1158,CUST121,10.08.2024,ELECTRONICS,Laptop Stand,4,102.61,india,,customer148@mail.com,4,0.14,False
ORD1551,CUST239,2023/03/05,Home & Kitchen, Running Shoes,6,96.18,  United Kingdom  ,COD,customer90@mail.com,2,22%,No
ORD1002,CUST128,2023-09-07,Home & Kitchen,  Face Cream  ,2,28.02,France,CREDIT CARD,customer40@mail.com,5,0.41,No
ORD1767,CUST211,11.08.2024,Electronics,,7,64.23,germany,Cash on Delivery,customer94@mail.com,4,0.14,Yes
ORD1208,CUST46,2023-07-17,Home and Kitchen,Yoga Mat,,175.22,U.S.A,UPI,,,1%,Yes
ORD1299,CUST112,2023/05/07,Home and Kitchen,Power Bank,4,51.85,Australia,UPI,customer215@@mail.com,5,,Yes
ORD1734,CUST295,2024-01-19,Home & Kitchen,,10,133.84,germany,Debit Card,customer235@mail.com,5,0.26,Y
ORD1436,CUST152,2024/02/13,Books ,Smart Watch ,4,42.58,Australia,,customer14@mail.com,5,0.03,Yes
ORD1652,CUST34,10/11/2023,electronics,Webcam HD,,26.53,United States,paypal,customer222@mail.com,2,5%,No
ORD1411,CUST291,19-Nov-2024,Electronics,,five,199.18,germany,credit card,,,0.17,Yes
ORD1614,CUST173,2023/05/20,Home and Kitchen,Gel Pen,1,74.12,United Kingdom,upi,customer143@mail.com,5,9%,no
ORD1909,CUST217,02-18-2024,Electronics,  Headphones  ,6,53.99,,CREDIT CARD,CUSTOMER144@MAIL.COM,4,,yes
ORD1814,,,  ELECTRONICS  ,Phone Case,8,78.65,  USA  ,Cash on Delivery,customer146@mail.com,4,0.23,False
ORD1977,CUST7,12/11/2023,Clothing,Phone Case,4,169.51,India,COD,customer128@mail.com,3,0.31,yes
ORD1964,CUST2,01.03.2024,Books,USB-C Cable,7,112.62,india,  upi  ,customer264@mail.com,4,,No
ORD1932,CUST85,2023-07-25,Home & Kitchen, Running Shoes,9,-70.88,France,credit card,CUSTOMER210@MAIL.COM,4,0.41,No
ORD1780,CUST282,23.01.2024,Books ,Laptop Stand,2,157.22,  United Kingdom  ,upi,customer42@mail.com,3,9%,Yes
ORD1306,CUST43,28-Apr-2024,Home and Kitchen,Shampoo,8,free,United States,upi,customer122@mail.com,4,0.25,Yes
ORD1600,CUST255,30-Nov-2024,Electronics,Bluetooth Speaker,5,94.88,Germany,UPI,customer26@mail.com,1,0.18,No
ORD1493,CUST86,20-Feb-2024,Sports,Wireless Mouse,4,$95.72,Australia,Cash on Delivery,,1,0.22,No
ORD1423,CUST24,23.06.2024,Books,USB-C Cable,1,80.01,N/A,,customer189@mail.com,3,0.23,Yes
ORD1298,CUST282,02-12-2024,Beauty,wireless mouse,8,19.89,France,Debit Card,customer276@mail.com,5,0.29,No
ORD1467,CUST15,11-Oct-2024,Books,Webcam HD,3,Rs.21.71,germany,paypal,customer264@mail.com,2,0.05,Yes
ORD1886,CUST101,11/05/2024,  Electronics  ,Face Cream,9,free,UK,,,4,0.46,No
ORD1757,CUST216,09-29-2023,Clothing,Laptop Stand,9,$96.8,india,CREDIT CARD,customer216@mail.com,1,,
ORD1096,CUST249,07-31-2024,Home and Kitchen,Shampoo,9,67.75,INDIA,,customer129@mail.com,1,1%,1
,,,,,,,,,,,,
ORD1055,CUST183,30-Mar-2023,Clothing,Phone Case,9,102.73,United Kingdom,COD,customer18@mail.com,3,0.43,No
ORD1120,cust112,09-09-2024,Clothing,Headphones,3,Rs.122.2,  France  ,,customer8@mail.com,1,20%,Yes
ORD1310,CUST265,2023-08-15,Books ,Notebook,10,118.3,India,credit card,customer175@mail.com,1,,No
ORD1025,CUST192,30.01.2023,beauty ,Gel Pen,2,14.65,unknown,paypal,customer26@mail.com,5,30%,No
ORD1072,CUST171,16/01/2023,Home and Kitchen,Headphones,7,122.35,unknown,UPI,customer81@mail.com,1,9%,Yes
ORD1530,CUST295,15/11/2024,Electronics,T-Shirt,1,51.48,United States,  upi  ,customer87@mail.com,2,,yes
ORD1044,CUST252,19.06.2023,electronics,Denim Jacket,5,35.96,Germany,COD,customer107@mail.com,5,0.16,yes
ORD1275,CUST212,18.10.2023,Home & Kitchen,Smart Watch ,1,48.34,  UK  ,NA,CUSTOMER159@MAIL.COM,5,0.14,No
ORD1478,CUST31,01-19-2023,Electronics,USB-C Cable,0,9.68,Australia,Credit Card,customer136@mail.com,2,0.22,Yes
ORD1314,CUST10,31-Aug-2024,electronics,  Shampoo  ,4,167.37,U.S.A,credit card,customer3@mail.com,5,0.09,No
ORD1336,CUST32,12-14-2023,electronics,  Denim Jacket  ,9,102.81,United Kingdom,upi,customer126@mail.com,,0.32,No
ORD1858,CUST293,06-05-2024,ELECTRONICS,Headphones,9999,192.52,United States,COD,customer26@mail.com,3,0.14,Yes
ORD1430,CUST191,27.01.2023,beauty ,Notebook,5,110.17,Australia,Cash on Delivery,customer276@mail.com,1,0.13,True
ORD1952,CUST14,09-20-2023,Books ,Bluetooth Speaker,6,192.08,india,,customer140@mail.com,1,0.49,N
ORD1682,CUST264,05.08.2023,ELECTRONICS,Yoga Mat,7,100.18,United Kingdom,,,2,0.49,1
ORD1588,CUST139,2023-07-27,beauty ,,,Rs.83.24,USA,paypal,customer200@@mail.com,4,23%,No
ORD1673,CUST79,27/07/2024,electronics,Headphones,4,159.08,N/A,COD,customer12@mail.com,1,0.24,Yes
ORD1327,CUST194,2023/02/03,Beauty,wireless mouse,7,95.41,N/A,CREDIT CARD,,5,0.36,True
ORD1807,CUST161,22.11.2023,Books,Yoga Mat,2,free,U.S.A,,customer13@mail.com,3,0.32,Yes
ORD1603,CUST19,2024/04/05,Books,Laptop Stand,8,187.79,  Germany  ,  Credit Card  ,customer153@mail.com,5,0.06,No
ORD1720,CUST137,2024-08-21,electronics,Power Bank,4,100.94,India,,customer60@mail.com,4,0.18,no
ORD1982,CUST36,08/05/2023,Electronics,Denim Jacket,,174.78,France,CREDIT CARD,customer148@mail.com,5,0.07,No
ORD1778,CUST263,2024/02/25,Books,Notebook,3,65.6,India,CREDIT CARD,customer75@mail.com,1,14%,Yes
ORD1764,CUST143,15/06/2023,Clothing,Webcam HD,7,59300.0,U.S.A,NA,customer39@mail.com,4,10%,True
ORD1331,CUST85,2024-10-22,  Home and Kitchen  ,T-Shirt,3,173.81,  India  ,credit card,,5,0.47,No
ORD1060,CUST190,12/04/2024,beauty ,USB-C Cable,10,Rs.74.32,Germany,Cash on Delivery,customer215@@mail.com,3,0.05,No
ORD1746,CUST21,03-May-2024,electronics,Gel Pen,9,13.75,USA,CREDIT CARD,customer11@mail.com,1,0.0,No
ORD1320,CUST163,04.03.2024,electronics,Notebook,2,128.96,France,PayPal,customer215@mail.com,3,0.28,No
ORD1092,CUST265,04-20-2024,Beauty,Wireless Mouse,9,49.71,Australia,,customer216@mail.com,4,0.45,Yes
ORD1723,CUST240,25-Aug-2023,Sports,Yoga Mat,10,,N/A,NA,customer122@mail.com,good,0.37,Yes
ORD1490,CUST157,09-01-2024,electronics,USB-C Cable,3,156.1,United States,Debit Card,customer88@mail.com,2,0.01,1
ORD1462,CUST176,22-Feb-2024,Books,Gel Pen,6,191.49,N/A,Cash on Delivery,customer151@mail.com,1,0.35,No
ORD1218,CUST260,31.08.2023,electronics,  Power Bank  ,1,56.98,INDIA,UPI,CUSTOMER213@MAIL.COM,5,0.09,Yes
ORD1513,CUST25,2024/11/24,Beauty,  wireless mouse  ,-1,22.89,  unknown  ,  Cash on Delivery  ,customer145@mail.com,4,37%,No
ORD1620,CUST115,2024/08/21,Home & Kitchen,Phone Case,5,86.45,UK,credit card,customer105@mail.com,1,0.16,N
ORD1425,CUST31,10-23-2024,  electronics  ,Phone Case,7,61.48,India,,customer86@mail.com,1,0.03,No
ORD1332,CUST170,17.02.2023,ELECTRONICS,USB-C Cable,9999,174.43, France,COD,customer277@mail.com,2,0.16,Yes
ORD1859,cust126,16/08/2023,Books ,  Denim Jacket  ,,135.55,United Kingdom,  Cash on Delivery  ,customer87@mail.com,5,29%,
ORD1934,CUST27,2024-09-27,Sports,Power Bank,9,50.62,United Kingdom,,customer111@mail.com,3,0.1,No
ORD1582,CUST168,11.08.2024,Electronics,Shampoo,7,135.62,U.S.A,COD,customer113@mail.com,5,0.24,No
ORD1355,CUST286,06/06/2024,clothing,Shampoo,4,95.91,India,,customer58@mail.com,4,0.38,No
ORD1482,CUST228,2024-11-10,Books,  Yoga Mat  ,five,$51.64,United States,CREDIT CARD,customer143@mail.com,2,0.3,True
ORD1545,CUST269,2023-02-28,beauty ,USB-C Cable,7,41.92, France,CREDIT CARD,customer113@@mail.com,5,4%,No
ORD1110,CUST153,13-Jan-2024,Home & Kitchen,Notebook,1,170.38,unknown,,,3,0.47,Yes
ORD1514,CUST300,2023/01/20,Electronics,Headphones,10,94.05, France,paypal,customer210@mail.com,4,40%,No
ORD1602,CUST278,,  clothing  ,Headphones,3,71.12,germany,COD,,,0.49,Yes
ORD1784,cust72,15.04.2024,Books,  wireless mouse  ,8,165.03, France,Credit Card,customer275@mail.com,2,,Yes
ORD1507,CUST100,08/03/2023,Clothing,Gel Pen,1,63.72,UK,CREDIT CARD,customer245@mail.com,,42%,No
ORD1334,CUST107,27/04/2024,  electronics  ,,8,101.03,India,,customer261@@mail.com,3,15%,No
ORD1850,CUST41,2023/02/28,Sports,USB-C Cable,7,40.5,France,Cash on Delivery,CUSTOMER261@MAIL.COM,3,0.24,1
ORD1294,CUST234,2024/07/02,electronics,,2,34.63,N/A,Credit Card,customer216@mail.com,3,,Y
ORD1286,CUST31,31.03.2024,Sports,Laptop Stand,,119.77,United Kingdom,PayPal,customer118@mail.com,2,0.16,Yes
ORD1940,CUST48,13.06.2024,clothing,Headphones,9,Rs.78.42,USA,Credit Card,customer83@mail.com,,0.05,No
ORD1447,CUST109,2023/12/02,Sports,Yoga Mat,6,147.42,UK,  Cash on Delivery  ,,3,6%,Yes
ORD1693,CUST163,06-29-2024,beauty ,T-Shirt,1,58.9,U.S.A,Credit Card,customer168@mail.com,4,0.16,No
ORD1652,CUST270,05/02/2023,Beauty,,10,65.11,Germany,CREDIT CARD,customer221@mail.com,3,0.43,No
ORD1899,CUST193,10-06-2023,Home and Kitchen,,-4,185.79,Australia,Credit Card,customer49@mail.com,7,0.14,no
ORD1277,CUST269,05-21-2024,Electronics,Power Bank,4,87.92,UK,Credit Card,customer141@@mail.com,4,33%,Yes
ORD1760,CUST288,2024/09/19,Home & Kitchen,Laptop Stand,8,108.96,india,PayPal,customer160@mail.com,4,0.42,0
ORD1137,CUST214,2024-02-21,Home & Kitchen,Power Bank,1,41.3,Germany,credit card,customer285@mail.com,4,0.15,1
ORD1501,CUST208,06/10/2023,Home & Kitchen,Shampoo,3,161.79, France,NA,customer236@mail.com,2,0.11,N
ORD1404,CUST284,2024-03-22,  Home and Kitchen  ,wireless mouse,1,54.79,United States,UPI,customer44@mail.com,1,0.14,Yes
ORD1523,CUST269,2023-06-16,Electronics,Laptop Stand,9,31.08,UK,CREDIT CARD,customer145@mail.com,3,40%,Yes
ORD1997,CUST218,16-Mar-2023,ELECTRONICS,wireless mouse,7,104.32,France,COD,customer145@mail.com,10,0.22,Yes
ORD1979,CUST288,2024-04-12,electronics,Headphones,2,183.3,USA,,customer171@mail.com,3,0.06,yes
ORD1580,CUST130,19.02.2024,Home and Kitchen,Denim Jacket,7,69.66,germany,credit card,,10,15%,1
